"ID","Bezeichnung","Beschreibung","URL","NetzwerkeServices","DigitaleAnwendungen","Empfehlungen","RechercheRessourcen","KulturSammlungsgutKolonialeKontexte","NsverfolgungsbedingtEntzogenesKulturgut","KulturgutentziehungenSBZDDR","KriegsbedingtVerlagertesKulturgut","HumanRemains","SecretSacredObjects","NaturkundeNaturwissenschaft"
"TZSXCJ","Koordinierungsstelle für Provenienzforschung Nordrhein-Westfalen","Mit der Koordinationsstelle für Provenienzforschung in Nordrhein-Westfalen (KPF.NRW) hat die Landesregierung gemeinsam mit dem Landschaftsverband Rheinland (LVR) und dem Landschaftsverband Westfalen-Lippe (LWL) im Jahr eine zentrale Einrichtung ins Leben gerufen, um die verschiedenen Aktivitäten in Nordrhein-Westfalen im Bereich der Provenienzforschung zu bündeln und effizient weiter voranzutreiben. Die KPF.NRW unterstützt, vernetzt und berät Museen, Archive und Bibliotheken sowie Privatpersonen und den Kunsthandel bei allen Fragen und Belangen der Provenienzforschung. Die KPF.NRW widmet sich dabei neben dem Arbeitsschwerpunkt zu NS-verfolgungsbedingten Entzügen auch Kulturgutentziehungen in der damaligen Sowjetischen Besatzungszone, der DDR und dem Kolonialismus.","https://www.kpf.nrw/ ","x",,,,"x","x","x","x","x","x","x"
"PPIVKC","Deutscher Bibliotheksverbund - AG Provenienzforschung und Provenienzerschließung","Die dbv-Kommission Provenienzforschung und Provenienzerschließung ist im dbv Ansprechpartner für alle Fragen rund um die Herkunft von Bibliotheksbeständen. Sie strebt an, die zur Erforschung und Erschließung von Provenienzen notwendigen Kompetenzen in Bibliotheken zu schaffen und zu erhalten. Dabei bietet sie Hilfestellung an. Seit Mai 2017 fungiert die Kommission als Geschäftsstelle des Arbeitskreises Provenienzforschung und Restitution – Bibliotheken. Inhaltlich berät die Kommission zu während der NS-Zeit geraubten Beständen, zu kriegsbedingt verlagerten Kulturgütern (Beutegut) und Kulturgutverlusten während der sowjetischen Besatzung und in der DDR (z.B. durch die Bodenreform) sowie zu Fragen zum Kultur- und Sammlungsgut aus kolonialen Kontexten. Auf der Webseite gibt es Handreichungen, Tätigkeitsberichte und weiterführende Informationen.","https://www.bibliotheksverband.de/provenienzforschung-und-provenienzerschliessung","x",,,,"x","x","x","x",,,
"SNYQCB","Landesstelle für die nichtstaatlichen Museen in Bayern","Die Landesstelle für nichtstaatliche Museen in Bayern richtet sich an Häuser in kommunaler, kirchlicher, privater oder Vereinsträgerschaft. Als Fachbehörde und Serviceeinrichtung des Freistaats Bayern steht sie den Museen mit Beratung und Hilfen in allen Arbeitsbereichen zur Seite. Im Bereich der Provenienzforschung unterstützt die Landessstelle u.a. bei der Durchführung von NS-Erstchecks, bei der Antragstellung bei der Stiftung Deutsches Zentrum Kulturgutverluste, berät zur Thematik kritische DDR-Provenienzen und führt in die praktische Provenienzforschung und in den Umgang mit sensiblen Objekten vor Ort ein. Im Rahmen der Fortbildungsreihe MuseumsPraxis werden regelmäßig Grundlagen-Workshops angeboten.","https://museumsberatung-bayern.de/provenienzforschung","x",,,,"x","x","x","x","x","x","x"
"WC3QKD","Museumsverband Brandenburg e. V. ","Der Museumsverband des Landes Brandenburg e. V. ist ein privatrechtlicher Zusammenschluss von institutionellen und persönlichen Mitgliedern aus Museen und musealen Einrichtungen im Land Brandenburg. Der Verband gibt einen Rundbrief und die Zeitschrift „Museumsblätter“ heraus, berät in Hinsicht auf die musealen Kernaufgaben und bietet Weiterbildungsveranstaltungen an. Im Bereich Provenienzforschung sind Projekte mit NS, SBZ/DDR und kolonialen Kontexten gelistet. Hervorzuheben ist außerdem das Erstcheck-Format, das 2012 zusammen mit der damaligen Arbeitsstelle für Provenienzforschung entwickelt wurde, und zu dem es seit 2024 eine Handreichung gibt. Ebenso ist zu betonen, dass in demselben Jahr eine Handreichung für Museen zu Kulturgutentzug in der Sowjetischen Besatzungszone und der DDR herausgegeben wurde.","https://www.museen-brandenburg.de/themen/provenienzforschung/handreichung-kulturgutentzug-sbz-ddr","x",,,,,"x","x","x","x","x","x"
"NGTKPB","Koordinierungsstelle für wissenschaftliche Universitätssammlungen in Deutschland","Die Koordinierungsstelle für wissenschaftliche Universitätssammlungen in Deutschland (KUS) fördert eine vielfältige und zukunftsfähige Sammlungslandschaft und setzt sich für die Interessen von Universitätssammlungen und all denjenigen ein, die mit ihnen arbeiten. Übergeordnetes Ziel ist es, wissenschaftliche Sammlungen an Universitäten und Hochschulen als Ressourcen für Forschung, Lehre und Transfer sichtbar, zugänglich und nutzbar zu machen, zu erhalten oder entsprechend neu zu entwickeln. Die Koordinierungsstelle berät, unterstützt, koordiniert und vernetzt Verantwortliche in den Sammlungen sowie weitere relevante Akteur:innen und vertritt die Anliegen und Interessen der universitären Sammlungen in Gremien und Netzwerken. Darüber hinaus führt die KUS eigenständig und in Kooperationen Forschungs- und Entwicklungsvorhaben durch. Im Bereich der Provenienzforschung engagiert sich die KUS u.a. bei der Durchführung von Erstchecks, im Netzwerk Koloniale Kontexte sowie bei Fragen rund um Digitalisierung und Dokumentation.","https://wissenschaftliche-sammlungen.de/de/","x",,,,"x","x","x","x","x","x","x"
"N2XG9M","Koordinierungsstelle Provenienzforschung am Museumsverband Thüringen","Der Museumsverband Thüringen e. V. (MVT) unterstützt und berät seit 1990 die durch seine Mitglieder vertretenen Museen bei ihrer Arbeit gemäß ICOM-Standards. Die Koordinierungsstelle Provenienzforschung am MVT ist Ansprechpartnerin im Bereich Provenienzforschung. Sie ist verantwortlich für die Öffentlichkeitsarbeit und Sensibilisierung für das Thema, sie erarbeitet Projektideen und -skizzen und unterstützt bei der Fördermittelbeantragung sowie bei der Betreuung von Provenienzforschung. Zudem koordiniert sie thematische Weiterbildungen und Fachveranstaltungen und den Ausbau des „Netzwerks Provenienzforschung in Thüringen“. ","https://museumsverband-thueringen.de/verband/","x",,,,"x","x","x","x","x","x","x"
"SE76DJ","Inventarbücher Museum Fünf Kontinente, München","Im Rahmen der Provenienzforschung setzt sich das Museum Fünf Kontinente mit seiner komplexen Geschichte auseinander. Auf den Internetseiten wird über Projekte berichtet, die auf diesem Gebiet durchgeführt  wurden oder an denen das Museum beteiligt war. Auch sind weiterführende Links zu den Inventarbüchern bis 1959 verzeichent. Erwerbungen, die in kolonialen oder NS-verfolgungsbedingten Kontexten stehen, können so überall auf der Welt unabhängig recherchiert und geprüft werden. ","https://www.museum-fuenf-kontinente.de/forschung/provenienzforschung.html ",,,,"x","x",,,,"x","x",
"HU19AA","Lexikon der österreichischen Provenienzforschung","Die Grundidee des Lexikons der österreichischen Provenienzforschung ist die Bündelung der Erkenntnisse, die die Mitglieder der Kommission für Provenienzforschung und weitere ProvenienzforscherInnen seit 1998 zu Entzug von Kunst- und Kulturgütern während des Nationalsozialismus sowie zur Rückstellungspraxis in der Nachkriegszeit ermittelt haben. In den Blick genommen werden Personen und Institutionen, die in Österreich zwischen 1930 und 1960 im musealen Bereich, in der Kulturpolitik, im Sammlungsbereich und im Kunsthandel tätig waren. Das Lexikon der österreichischen Provenienzforschung ist kein statisches Projekt, sondern wird laufend erweitert und ergänzt.","https://www.lexikon-provenienzforschung.org",,,,"x",,"x",,,,,
"QEU5OO","Deutsche Fotothek | Provenienzmerkmale","Das Online-Portal der Deutschen Fotothek in der SLUB Dresden ermöglicht den Zugang zu einem rund sieben Millionen Fotografien umfassenden Bildbestand. Die in der SLUB Dresden angesiedelte Deutsche Fotothek zählt damit zu den wichtigsten Bildarchiven Europas. In der Bildsuche des Online-Angebots werden mittels des Suchbegriffs „Provenienzmerkmal“ über 11.000 Provenienzmerkmale wie Stempel, Exlibris, Etiketten, Widmungen, Autogramme erfasst und über deskriptive Merkmale und Abbildungen erschlossen. Werke mit NS-Raubgut-Verdacht und -Nachweis werden eigens ausgezeichnet. ","https://www.deutschefotothek.de/gallery/freitext/provenienzmerkmale",,,,"x","x","x","x","x",,,
"QWVCUN","Wiedergutmachungsakten (WGA) / Wiedergutmachungsämter Berlin","Das Themenportal ""Wiedergutmachung nationalsozialistischen Unrechts"" im Subportal Archivportal-D bietet einen zentralen Zugang zu den Millionen Akten der deutschen Wiedergutmachungspolitik. Es wird in den kommenden Jahren und Jahrzehnten zum internationalen Gesamtzugriff auf dieses Dokumentenerbe ausgebaut, das Familien und Nachkommen der Verfolgten die Suche nach Informationen zu Verfolgtenschicksalen und zur eigenen Familiengeschichte erlaubt. Der internationalen Forschung und Bildungsprojekten aller Art werden geeignete Recherchemethoden, Digitalisate und eine Fülle von Bildungsangeboten zur Verfügung stehen. Bereits heute können die wichtigsten Bestände aus den staatlichen Archiven des Bundes und der Länder, von zahlreichen Kommunen und freien Stellen ermittelt werden. Zudem kann in einem Großteil der im Archivportal-D bereits vorhandenen, thematisch einschlägigen Akten über den Suchbalken auf der Startseite des Themenportals recherchiert werden.","https://www.archivportal-d.de/themenportale/wiedergutmachung",,,,"x",,"x",,,,,
"D2PC9B","Art Sales Catalogues Online ","The Art Sales Catalogues Online (ASCO) publication offers easy access to scanned historical art sales catalogues for the period 1600 to 1900. Lugt's Répertoire online database has been included in this publication and serves as the ""entrance gate"" to the catalogues. The Art Sales Catalogues Online database presents the online edition of the Répetoire des Catalogues de Ventes Publiques by Frits Lugt combined with the possibility to view complete art sales catalogues. This database provides a multitude of search options. Many recently discovered catalogues have been added and corrections to the original Répertoire have been made.","https://primarysources.brillonline.com/browse/art-sales-catalogues-online/ ",,,,"x",,"x",,,,,
"BB2DUO","Stasi-Unterlagen-Archiv","Das Archiv bewahrt und erschließt die 1990 sichergestellten Akten des ehemaligen Ministeriums für Staatssicherheit der DDR (MfS). Auf der Grundlage des Ende 1991 in Kraft getretenen Stasi-Unterlagen-Gesetzes können Privatpersonen Einsicht in die Akten beantragen, die die Staatssicherheit über sie angelegt hat. Unter bestimmten Voraussetzungen können auch nahe Angehörige von vermissten oder verstorbenen Personen die Unterlagen einsehen. Die Aktenrecherche und -einsicht ist für Betroffene, Dritte und nahe Angehörige kostenlos. Antragsformulare sind an allen Standorten des Stasi-Unterlagen-Archivs erhältlich, werden auf telefonische Anfrage per Post verschickt und stehen unter www.stasi-unterlagen-archiv.de/akteneinsicht/privatpersonen als Download zur Verfügung. Eine Antragstellung online ist möglich. ","https://www.bundesarchiv.de/stasi-unterlagen-archiv/",,,,"x",,,"x",,,,
"MII4VK","Quellen zum Deutschen Reich im Nationalsozialismus","Das Bundesarchiv verwahrt neben dem staatlichen Archivgut von zentralen zivilen und militärischen Stellen des sogenannten Dritten Reichs Unterlagen der NSDAP, ihrer Gliederungen und angeschlossenen Verbände. Dazu zählt vor allem die Zentrale Mitglieder­kartei der NSDAP mit rund 12,7 Mio. Karteikarten, aber auch die Partei­korrespondenz (ca. 1,3 Mio. Akten), Personal­unterlagen von Angehörigen der Sturm­abteilung (SA) und Schutz­staffel (SS), Personen­akten des Rasse- und Siedlungs­hauptamtes-SS sowie Personen­akten der Reichs­kultur­kammer.","https://www.bundesarchiv.de/im-archiv-recherchieren/archivgut-recherchieren/nach-themen/quellen-zum-deutschen-reich-im-nationalsozialismus/",,,,"x",,"x",,,,,
"CPPBM5","Inventar: Kunstraub und ""Arisierung"" 1933-1945","Das sachthematische Inventar ""Kunstraub und 'Arisierung' 1933 - 1945"" soll Recherchen in den Beständen des Generallandesarchivs Karlsruhe nach der Herkunft und dem Verbleib des fraglichen Kulturguts unterstützen. Hierzu wurde ein Teil der hiesigen umfangreichen Überlieferung aus der Zeit des Nationalsozialismus und nach der alliierten Besetzung Badens näher beschrieben. Die Beschreibung erfasst Bestand für Bestand einzelne Archivalieneinheiten oder Aktengruppen, die Aufschluss geben können über:
 unterschiedliche Praktiken der Entziehung sowohl in Baden als auch im Elsass, bestimmte Einzelfälle solcher Entziehungen, die Umstände der Entrechtung und Verfolgung der rechtmäßigen Eigentümer während des Nationalsozialismus, die Bemühungen der Betroffenen um Rückerstattung nach dem Zweiten Weltkrieg.","https://www2.landesarchiv-bw.de/ofs21/inventar/startbild.php?inventar=Arisierung",,,,"x",,"x",,,,,
"HJ602T","Provenienzforschung im Generallandesarchiv Karlsruhe","Der Rechercheratgeber zum NS-Kunstraub wendet sich sowohl an Personen, die der Herkunft bzw. dem Verbleib eines Gegenstands nachgehen, als auch an interessierte Bürgerinnen und Bürger, die sich mit den Vorgängen im Südwesten und im Elsass auseinandersetzen wollen. Zur Herrschaftspraxis im Nationalsozialismus gehörten weitreichende Eingriffe in private Eigentumsverhältnisse zu Gunsten der öffentlichen Hand. Gegenstand der politisch motivierten Plünderungen war unter anderem Kulturgut, beispielsweise Werke der bildenden Kunst und des Kunsthandwerks, Bücher, Schriftgut, Sammlungen. Die Folgen des NS-Kunstraubs wirken bis in die Gegenwart. In öffentlichen Sammlungen und auf dem Kunstmarkt finden sich nach wie vor Gegenstände, die den Eigentümern nicht zurückerstattet wurden.","https://www.landesarchiv-bw.de/de/recherche/rechercheratgeber/61285",,,"x","x",,"x",,,,,
"DLMWN1","Brandenburg sammelt","""Brandenburg sammelt"" ist eine Online-Plattform für das museale Kulturerbe in Brandenburg. Erkunde Highlight-Sammlungen oder entdecke interessante Themeneinstiege.","https://www.brandenburg-sammelt.de/",,,,"x",,,"x",,,,
"W30BHA","RKD Research","RKD Research ist die Online-Forschungsplattform des RKD - Niederländisches Institut für Kunstgeschichte, in der eine unendliche Menge an Daten und Quellen zu Kunstwerken und Künstlern zugänglich ist. Forscher aus der ganzen Welt können auf der Plattform komplexe Forschungsfragen stellen und beantworten und Bilder visuell vergleichen. Die wichtigsten Vorteile von RKD Research: Alle RKD-Datenbanken sind in Linked Open Data umgewandelt und unter https://rkd.triply.cc/ öffentlich zugänglich. Die visuelle Suche ermöglicht es den Abonnenten, ein Bild einzugeben und die Datenbanken nach ähnlichen Bildern zu durchsuchen. In meinem Arbeitsbereich können die Abonnenten Bilder ansehen, vergleichen und bearbeiten.","https://research.rkd.nl/en/search?size=n_20_n&filters%5B0%5D%5Bfield%5D=db&filters%5B0%5D%5Bvalues%5D%5B0%5D=rkdimages&filters%5B0%5D%5Btype%5D=all",,,,"x",,"x",,,,,
"VM7Z6E","Provenienzmerkmale in den Staatlichen Kunstsammlungen Dresden","Die oft wechselvolle Geschichte eines Kunstwerks kann meist anhand der mehr oder weniger vollständig erhaltenen Provenienzmerkmale auf den Kunstwerken rekonstruiert werden. Stempel, Aufkleber und verschiedenartige Markierungen geben Auskunft über Voreigentümer – über Kauf, Schenkung, Vererbung – oder weisen gelegentlich auch auf Beschlagnahmung und Diebstahl hin. Der folgende Link bietet eine Übersicht der bisher an den Staatlichen Kunstsammlungen Dresden erfassten Provenienzmerkmale. Möchten Sie detailliert suchen, nutzen Sie bitte das Eingabefeld für die einfache Suche in der Online Collection. Hier können Sie durch die Kombination von Suchbegriffen (z. B. +Nummerierung +handschriftlich +Aufkleber) die Treffermenge eingrenzen. Das Eingabefeld für die einfache Suche finden Sie auf der Startseite der Online Collection oder über das Lupe-Symbol auf der Seite der Online Collection.","https://www.skd.museum/forschung/provenienzforschung/provenienzmerkmale/",,,,"x","x","x","x","x","x","x","x"
"HQPUHX","ICOM Red Lists Database","In der Datenbank sind alle Kategorien von Kulturgütern erfasst, die in den Roten Listen des ICOM aufgeführt sind. ","https://icom.museum/en/resources/red-lists/",,,,"x","x","x",,,"x","x","x"
"N5MOJ9","Kulturgüterportal Nordwestschweiz","Die Kantone Aargau, Basel-Landschaft, Bern und Solothurn betreiben ein gemeinsames Portal und Museumsnetzwerk, das allen interessierten Museen und Kulturinstitutionen offensteht. Zusammen werden Sammlungsbestände online erfasst und veröffentlicht.","https://www.kimnet.ch/objects",,,,"x","x","x",,"x","x","x","x"
"IBUA1A","Kulturgutschutz - Datenbank geschützter Kulturgüter","In Deutschland besteht bereits seit 1919 ein Verzeichnissystem, wonach Kulturgüter von besonders herausragender Bedeutung für Deutschland durch eine individuelle Listung einen besonderen Schutzstatus erhalten. Auch wenn sich die Inhalte der heute in den Bundesländern geführten Verzeichnisse in den vergangenen fast 100 Jahren gewandelt haben, so besteht das Grundsystem der individuellen Listung bis heute fort. In der Datenbank national wertvolles Kulturgut sind alle Kulturgüter zusammengefasst, die in einem der von den Bundesländern geführten Verzeichnisse national wertvollen Kulturgutes enthalten sind. „National wertvolles“ Kulturgut bezeichnet somit all jenes Kulturgut, welches in die Verzeichnisse national wertvollen Kulturgutes eingetragen ist. EU- und völkerrechtliche Hintergründe hat dagegen der durch das Kulturgutschutzgesetz (KGSG) eingeführte Oberbegriff des „nationalen Kulturgutes“.","https://www.kulturgutschutz-deutschland.de/DE/3_Datenbank/dbgeschuetzterkulturgueter.html;jsessionid=5E6EC9CD0D3FDEA15AF8088F7A98A227.1_cid322?nn=8513344",,,,"x",,,,,,,
"PCL7J8","Kommission für Provenienzforschung (AT)","Die Kommission für Provenienzforschung nutzt Archive im In- und Ausland, um entzogene Objekte in den Bundessammlungen aufzufinden und ihre Geschichte möglichst genau darzustellen. Die wichtigsten österreichischen Quellenbestände befinden sich im Österreichischen Staatsarchiv, im Wiener Stadt- und Landesarchiv und in den Archiven des Bundesdenkmalamts und der Bundesmuseen. Sie finden auf dieser Website weiterführende Informationen und Links zu relevanten Archivbeständen und Institutionen im In- und Ausland sowie digitale Tools zur Online-Recherche. Darüber hinaus leisten die Mitglieder der Kommission wesentliche Beiträge zur Grundlagenforschung im Bereich des Vermögensentzugs im Nationalsozialismus. Das Online-Lexikon der österreichischen Provenienzforschung dient zur Sichtbarmachung von Akteur:innen und Geschädigten des NS-verfolgungsbedingten Kulturgüterentzugs in Österreich.","https://provenienzforschung.gv.at/","x",,,"x",,"x",,,,,
"SJTDH7","Origins unknown | Herkunft unbekannt","In der Zeit von 1933 bis 1945 plünderte und beschlagnahmte das NS-Regime in vielen Ländern, darunter auch in den Niederlanden, eine noch nie dagewesene Anzahl von Kulturgütern. Die Objekte wurden auch verkauft oder abgegeben, manchmal unter Zwang. Nach dem Zweiten Weltkrieg wurden einige von ihnen zurückgegeben. Hier finden Sie Links zu weiteren Informationen darüber, wie wir in den Niederlanden mit diesem Kulturgut umgehen.","https://www.herkomstgezocht.nl/origins-unknown","x",,,"x",,"x",,"x",,,
"PA3709","Spoliation Advisory Panel (GB)","Das Gremium Spoliation Advisory Panel (GB) klärt Ansprüche von Personen oder deren Erben, die während der NS-Zeit Kulturgüter verloren haben, die sich heute in nationalen Sammlungen des Vereinigten Königreichs befinden. ","https://www.gov.uk/government/groups/spoliation-advisory-panel","x",,,"x",,"x",,"x",,,
"QP92UZ","EHRI Portal to Holocaust-related Sources","Das EHRI-Portal bietet Online-Zugang zu Informationen über Archivmaterial mit Bezug zum Holocaust, das in Institutionen in ganz Europa und darüber hinaus aufbewahrt wird. Die EHRI Collection of Digital Tools Guides ist eine Reihe von Leitfäden, die Forschern, die sich mit dem Holocaust und anderen verwandten Themen befassen, bei der Nutzung digitaler Hilfsmittel für ihre Forschung helfen sollen. Sie wurden von Mitarbeitern des King's College London und des US Holocaust Memorial Museum erstellt. Der Dokumenten-Blog ist ein Ort des Gedankenaustauschs über Archivdokumente, die mit dem Holocaust in Zusammenhang stehen, sowie über deren Präsentation und Interpretation mithilfe digitaler Werkzeuge. Das EHRI Geospatial Repository erleichtert die Forschung mit räumlichen und geografischen Ansätzen, indem es Zugang zu Daten über Holocaust-bezogene Orte und Räume bietet. EHRI Online Editions von kommentierten Dokumenten zu einem bestimmten Thema und eine neue Art der Präsentation von digitalen Archivinhalten. Das EHRI-Publikationsspeicher ist bei HAL angesiedelt und enthält alle Veröffentlichungen im Zusammenhang mit EHRI. In der EHRI-Phase 1 wurden zwei Forschungsleitfäden entwickelt: einer zu Theresienstadt und einer zu den „Judenräten“.","https://www.ehri-project.eu/online-course-holocaust-studies",,,,"x",,"x",,,,,
"KUO3J7","Zentraldepot Karteikarten online","Online-Edition der Karteien zum sogenannten Zentraldepot für beschlagnahmte Sammlungen in Wien. Die Website ermöglicht erstmals die parallele Recherche in zwei zusammengehörenden Quellen zum nationalsozialistischen Kunstraub, die sich in zwei unterschiedlichen Institutionen in Wien befinden: dem Archiv des Kunsthistorischen Museums und dem Archiv des Bundesdenkmalamts, das von der Kommission für Provenienzforschung betreut wird. Die beiden Karteien des sogenannten Zentraldepots dokumentieren Objekte aus privaten Wiener Kunstsammlungen, die ihren als Jüdinnen und Juden verfolgten EigentümerInnen seit März 1938 durch das NS-Regime entzogen worden waren und in der Folge an verschiedene Museen, u. a. das in Linz geplante „Führermuseum“, verteilt wurden.","https://www.zdk-online.org/",,,,"x",,"x",,"x",,,
"FBGGIF","Provenienzdatenbank.Bund","Über die Provenienzdatenbank.Bund können die bisherigen Ergebnisse der systematischen Untersuchung der Gemälde, Grafiken, Skulpturen sowie kunstgewerblichen und archäologischen Objekte abgerufen werden, die vor dem Jahre 1945 entstanden sind und sich heute im Besitz der Bundesrepublik Deutschland befinden. Der überwiegende Teil dieser Werke stammt aus dem ehemaligen Central Collecting Point (CCP) München. Sie können nach den einzelnen Provenienzen suchen. Speziell besteht die Möglichkeit den Künstler und die Nummer des CCP München in das entsprechende Suchfeld einzugeben, sowie die Ergebnisse nach Objektart zu filtern. Die Provenienzen werden fortlaufend erforscht und neue Erkenntnisse zur Provenienz der Objekte werden sukzessive in die Provenienzdatenbank.Bund eingearbeitet.","https://kunstverwaltung.bund.de/SiteGlobals/Forms/Suche/Provenienzrecherche/Provenienzrecherche_Formular.html",,,,"x",,"x",,"x",,,
"ONLV6W","Leo Baeck Institute New York | Berlin","Das Leo Baeck Institute - New York | Berlin ist eine Forschungsbibliothek und ein Archiv mit Schwerpunkt auf der Geschichte der deutschsprachigen Juden. Seine umfangreichen Bibliotheks-, Archiv- und Kunstsammlungen sind eine der bedeutendsten Quellen- und Forschungssammlungen zur Geschichte des jüdischen Lebens in Mitteleuropa vor dem Holocaust.","https://www.lbi.org/","x",,,"x",,"x",,,,,
"QFS7QO","POP: la plateforme ouverte du patrimoine","Plattform für das Kulturerbe des Kulturministeriums von Frankreich. Fast 4 Millionen Einträge, die französische Kulturgüter dokumentieren: Gemälde, Skulpturen, Architektur, Kunstgegenstände, Fotografien, Buchmalerei; öffentlicher oder privater Besitz; Güter, die in französischen Museen oder Bibliotheken aufbewahrt werden; Güter, die als historische Denkmäler klassifiziert oder eingetragen sind, von den regionalen Dienststellen des Generalinventars des Kulturerbes untersucht wurden, das Label zeitgenössische Architektur oder Maisons des Illustres tragen.","https://pop.culture.gouv.fr/search/list?base=%5B%22R%C3%A9cup%C3%A9ration%20art%20istique%20%28MNR%20Rose-Valland%29%22%5D",,,,"x","x","x",,"x","x","x","x"
"V9NTAE","Restitutiecommissie - Restitution for Items of Cultural Value & World War II (NL)","Ein geraubtes Kunstwerk kann sich heute im Besitz der niederländischen Behörden, eines Museums oder einer Privatperson befinden. Haben Sie den Verdacht, dass ein Kunstobjekt früher Ihrer Familie gehörte und durch das Naziregime verloren gegangen ist? Dann können Sie beim Beratenden Ausschuss für die Beurteilung von Restitutionsanträgen für Kulturgüter und den Zweiten Weltkrieg (kurz: Restitutionsausschuss) einen Antrag auf Rückgabe stellen.","https://www.restitutiecommissie.nl/en/","x",,,"x",,"x",,,,,
"R6UZ41","Mapping the Lives – Tracing the Past","Tracing the Past e.V. präsentiert eine neue Version von Mapping the Lives – dem digitalen Ort der Erinnerung an die Verfolgten des NS-Regimes: https://mappingthelives.org. Neben substantieller Erweiterung von bisher ca. 406.000 auf über 950.000 Einträge bietet die neue Version große Verbesserungen in Bedienung und Funktion. Derzeit ist der Verein damit beschäftigt, ca. 100.000 Wohnanschriften aus den Deportationslisten in das System der Datenbank einzupflegen, um so biographische Eckdaten von Individuen zu präzisieren und der Öffentlichkeit zur Verfügung stellen zu können. Mit der neuen Version von https://mappingthelives.org haben nun auch Gedenkstätten, Museen oder Projekte die Möglichkeit, eine Version der Mapping-the-Lives-Karte in den eigenen Internetauftritt einzubinden und Verlinkung einzurichten.","https://tracingthepast.org/mapping-the-lives/","x",,,"x",,"x",,,,,
"NB74LH","Fold3","Gemeinsam mit dem US Holocaust Memorial Museum haben wir über 600 Geschichten von einzelnen Opfern und Überlebenden aufgenommen.","https://www.fold3.com/go/holocaust",,,,"x",,"x",,,,,
"BBQB01","Zentrale Datenbank der Namen der Holocaustopfer","Gemeinsam mit seinen Partnern hat Yad Vashem Namen und biographische Angaben von Millionen Opfern der systematischen anti-jüdischen Verfolgung zur Zeit des Holocaust (der Shoah) gesammelt und aufgezeichnet. Über vier Millionen neunhunderttausend der fast sechs Millionen Juden, die von den Nazis und ihren Helfershelfern ermordet wurden, wird hier ein Denkmal gesetzt. Diese Datenbank enthält Informationen zu Opfern des Holocaust: zu denen, die ermordet wurden, zu vielen, deren Schicksal noch nicht geklärt ist, sowie zu einigen, die überlebt haben.","https://collections.yadvashem.org/de/names",,,,"x",,"x",,,,,
"AD44PD","Große Deutsche Kunstausstellungen 1937 – 1944","GDK Research – Bildbasierte Forschungsplattform zu den Großen Deutschen Kunstausstellungen 1937-1944 in München. GDK Research publiziert unbekannte fotografische Dokumente zur staatlich geförderten Kunst der NS-Zeit, um die kritische Auseinandersetzung mit der Kunst- und Kulturpolitik des nationalsozialistischen Regimes auf eine breitere, quellengestützte Grundlage zu stellen.","https://www.gdk-research.de/db/apsisa.dll/ete",,,,"x",,"x",,,,,
"Z88UQG","Biographische Datenbanken | Bundesstiftung zur Aufarbeitung der SED-Diktatur","„Wer war wer in der DDR? Ein Lexikon ostdeutscher Biographien"" und „Deutsche Kommunisten: Biographisches Handbuch 1918 bis 1945"" – zwei Standardwerke, deren insgesamt rund 5400 Biographien hier online als Datenbank zur Recherche bereitstehen. Sie können nach Nachname, Vorname, Pseodoymn, Position oder im Volltext suchen. ","https://www.bundesstiftung-aufarbeitung.de/de/recherche/kataloge-datenbanken/biographische-datenbanken",,,,"x",,,"x",,,,
"LCP1O1","Enquete-Online | Die Enquete-Kommissionen zur Aufarbeitung der SED-Diktatur","Recherchemöglichkeit in den insgesamt 32 Bänden der beiden Enquete-Kommissionen „Aufarbeitung von Geschichte und Folgen der SED-Diktatur in Deutschland“(1992–1994)
und „Überwindung der Folgen der SED-Diktatur im Prozess der deutschen Einheit“ (1995–1998)","https://enquete-online.de/recherche/",,,,"x",,,"x",,,,
"BTOFRG","Findbücher zu den Beständen des Bundesarchivs. Staatlicher Kunsthandel der DDR. „VEH Bildende Kunst und Antiquitäten“ (1974 - 2002). Bestand DR 144","Überblick zu Kontexten, Literatur und Quellen zum Staatlichen Kunsthandel der DDR","https://invenio.bundesarchiv.de/invenio/main.xhtml",,,,"x",,,"x",,,,
"B7OLG6","MfS-Lexikon (Ministerium für Staatssicherheit)","Das MfS-Lexikon online: Begriffe, Personen und Strukturen der Staatssicherheit der DDR","https://www.bundesarchiv.de/im-archiv-recherchieren/stasi-unterlagen-einsehen/hinweise-zum-mfs/mfs-lexikon/",,,,"x",,,"x",,,,
"PUBNZL","Archivgut der SED und des FDGB - Beständelisten","Verbleib der Bezirksparteiarchive und des Zentralen Parteiarchivs der SED, der Bezirksgewerkschaftsarchive und des Archivs des Bundesvorstandes des FDGB sowie der Überlieferung der Partei- und Gewerkschaftsorganisationen der zentralen staatlichen Stellen der DDR ","https://www.bundesarchiv.de/sed-fdgb-netzwerk/bestaendelisten.html",,,,"x",,,"x",,,,
"HNPN69","Gutsbesitz bis 1945 in Brandenburg, Mecklenburg-Vorpommern, Sachsen, Sachsen-Anhalt und Thüringen","Diese Website kann zu Recherchezwecken über Gutsanlagen und Gutshäuser verwendet werden. ","http://gutsanlagen.blogspot.com/",,,,"x",,,"x",,,,
